OBJECTID,Jurisdiction,LG_Type,MPO,RTPA,Air District,Population,Jurisdiction URL,Regional Plan URL,Climate Action Plan URL,Energy Action Plan URL,Other Climate Plan URL,Municipal Inventory URL,Community Inventory URL,Baseline year,Latest Inventory Year,x,y
1,Alameda,County,Metropolitan Transportation Commission,MTC,BAAQMD,1584983,https://www.acgov.org/,http://www.baaqmd.gov/plans-and-climate/air-quality-plans/current-plans,http://www.acgov.org/cda/planning/generalplans/documents/110603_Alameda_CCAP_Final.pdf,,,https://www.acgov.org/sustain/documents/climateactionplan_executivesummary.pdf,http://www.acgov.org/cda/planning/generalplans/documents/110603_Alameda_CCAP_Final.pdf,2005,2005,,
2,Alpine,County,,Alpine LTC,GBUAPCD,1131,http://www.alpinecountyca.gov/,,,http://www.alpinecountyca.gov/DocumentCenter/View/1620,,,,,,,
3,Amador,County,,Amador CTC,Amador County APCD,36995,http://www.co.amador.ca.us/,,,http://www.amadorgov.org/departments/planning/amador-county-energy-action-plan,,http://www.amadorgov.org/home/showdocument?id=23725,http://www.amadorgov.org/home/showdocument?id=23725,2005,2005,,
4,Butte,County,Butte County Association of Governments,BCAG,BCAQMD,222564,https://www.buttecounty.net/,,http://www.buttecap.net/documents2,,,http://www.buttecap.net/documents2,http://www.buttecap.net/documents2,2006,2006,,
5,Calaveras,County,,Calaveras COG,Calaveras County APCD,44767,http://calaverasgov.us/,,,,,,,,,,
6,Colusa,County,,Colusa CTC,Colusa County APCD,21396,http://www.countyofcolusa.org/,,,,,,,,,,
7,Contra Costa,County,Metropolitan Transportation Commission,MTC,BAAQMD,1096068,http://www.co.contra-costa.ca.us/,http://www.baaqmd.gov/plans-and-climate/air-quality-plans/current-plans,http://www.co.contra-costa.ca.us/DocumentCenter/View/2253,,,http://www.co.contra-costa.ca.us/DocumentCenter/View/2253,http://www.co.contra-costa.ca.us/DocumentCenter/View/2253,2005,2005,,
8,Del Norte,County,,Del Norte LTC,NCUAQMD,27788,http://www.co.del-norte.ca.us/,,,,,,,,,,
9,El Dorado,County,"Sacramento Area Council of Governments, Tahoe Metropolitan Planning Organization","El Dorado CTC, TRPA",EDCAQMD,182093,https://edcgov.us/home.aspx,,,,,,,,,,
10,Fresno,County,Fresno Council of Governments,FCOG,SJVAPCD,956749,http://www.co.fresno.ca.us/,http://www.valleyair.org/Programs/CCAP/CCAP_idx.htm,,,,http://www.co.fresno.ca.us/WorkArea/DownloadAsset.aspx?id=53859,,2010,2010,,
11,Glenn,County,,Glenn CTC,GCAPCD,28029,http://www.countyofglenn.net/,,,,,,,,,,
12,Humboldt,County,,Humboldt CAG,NCUAQMD,135034,http://www.humboldtgov.org/,,https://humboldtgov.org/DocumentCenter/Home/View/1870,,,,https://humboldtgov.org/DocumentCenter/Home/View/1870,1990,2006,,
13,Imperial,County,Southern California Association of Governments,Imperial CTC,ICAPCD,178206,http://www.co.imperial.ca.us/,,,,,,,,,,
14,Inyo,County,,Inyo County LTC,GBUAPCD,18373,http://inyocounty.us/,,,http://inyoplanning.org/InyoCountyCostEnergyandServiceEfficienciesActionPlan.pdf.pdf,,http://inyoplanning.org/InyoCountyCostEnergyandServiceEfficienciesActionPlan.pdf.pdf,,2011,2011,,
15,Kern,County,Kern Council of Governments,KCOG,"EKAPCD, SJVAPCD",865736,https://www.co.kern.ca.us/,http://www.valleyair.org/Programs/CCAP/CCAP_idx.htm,,,,,http://www.kerncog.org/wp-content/uploads/2011/09/kc_ghg_final_report_052012.pdf,2005,2005,,
